palabra,frecuencia
importante,2
mínima,2
perfil,2
evolucionado,2
básico,2
caro,2
mejorado,2
logrado,2
meloso,2
disfrute,2
confitado,2
pleno,2
único,2
bacalao,2
extraer,2
promete,2
pretensión,2
fiesta,2
garra,2
suavidad,2
graduación,2
fan,2
idea,2
golosidad,2
compañero,2
merecer,2
fecha,2
perfumado,2
jean,2
excesiva,2
bollería,2
excelencia,2
definido,2
cantabria,2
reciente,2
elegido,2
abuelo,2
recomendar,2
colgar,2
cambiar,2
experimento,2
huevo,2
fundada,2
desprender,2
serra,2
acostumbrado,2
pv,2
pensar,2
exquisito,2
español,2
atacar,2
saborear,2
maduro,2
playa,2
jugoso,2
general,2
turbio,2
artesanal,2
espectacular,2
ejemplo,2
desplegar,2
pizca,2
heno,2
cortijo,2
factura,2
picante,2
reducción,2
absoluta,2
restauración,2
vender,2
abierto,2
rato,2
cumplidor,2
vinacoteca,2
boda,2
salir,2
granate,2
tanicidad,2
fundador,2
formato,2
auténtico,2
roca,2
kg,2
ilusión,2
viticultor,2
espárrago,2
presentación,2
degustado,2
sublime,1
imagen,1
marga,1
fundar,1
generación,1
rendimiento,1
filosofía,1
terciario,1
predominante,1
borde,1
edición,1
primario,1
canto,1
rodado,1
equipo,1
salió,1
solera,1
rancio,1
sorbo,1
lagrimal,1
concurso,1
sed,1
arenoso,1
despalillado,1
aporte,1
conversación,1
certificado,1
apostar,1
cabeza,1
cueva,1
café,1
extraño,1
contrario,1
condición,1
protos,1
premium,1
compartir,1
despliegue,1
sobrar,1
arribas,1
preferido,1
hoja,1
marchita,1
tópico,1
mérito,1
creador,1
tarragona,1
ejercicio,1
miedo,1
futuro,1
panorama,1
cualidade,1
ganado,1
guardado,1
resistir,1
pegar,1
eguren,1
rezar,1
periodo,1
realizado,1
esfuerzo,1
vendimia,1
atraer,1
concepto,1
mazuelo,1
defraudado,1
licorosidad,1
china,1
perfume,1
profundo,1
amargura,1
defraudar,1
juventud,1
lógico,1
fórmula,1
procedencia,1
embotellar,1
pasada,1
inferior,1
comentar,1
aproximadamente,1
inicial,1
horra,1
asada,1
castaño,1
lástima,1
tramuntana,1
estación,1
supermercado,1
hectárea,1
conservado,1
consumir,1
acuerdo,1
obtenido,1
sonsierra,1
intermedio,1
pendiente,1
representante,1
decente,1
manual,1
trasiego,1
sistema,1
territorio,1
sello,1
apertura,1
término,1
primavera,1
temporada,1
valor,1
típica,1
invierno,1
austero,1
súper,1
faustino,1
viento,1
húngaro,1
barrio,1
mitad,1
ligada,1
cojonudo,1
concentración,1
escándalo,1
brasa,1
oferta,1
cultura,1
juvenil,1
cariño,1
aficionado,1
fallar,1
seta,1
cordero,1
añadir,1
distancia,1
costumbre,1
biodinámico,1
salsa,1
púrpura,1
sonar,1
jovial,1
protagonista,1
fruto,1
avainillado,1
prado,1
cono,1
potencial,1
exótica,1
regla,1
marketing,1
delicia,1
matrimonio,1
lila,1
rf,1
esperado,1
caíño,1
espadeiro,1
tonalidad,1
escondida,1
acierto,1
demuestra,1
prima,1
materia,1
cemento,1
sol,1
mirando,1
fallado,1
foie,1
razón,1
intervención,1
brisat,1
indicar,1
oxidado,1
tacto,1
penalizar,1
dominio,1
creamy,1
mediodía,1
fijo,1
terruño,1
domingo,1
fenomenal,1
madurar,1
clase,1
describir,1
latín,1
lista,1
dato,1
arrancar,1
orcuro,1
green,1
value,1
delicioso,1
césar,1
oxigenar,1
adictivo,1
reflejar,1
basterra,1
empalagar,1
capaz,1
picoteo,1
celebrar,1
astringente,1
experiencia,1
tipicidad,1
comercializar,1
cardenalicio,1
bouschet,1
brillo,1
as,1
pajizo,1
lluvia,1
cedar,1
alcachofa,1
disfrutable,1
pepino,1
web,1
endrina,1
ficha,1
salar,1
comparar,1
punzante,1
redondear,1
favor,1
dominar,1
chenin,1
ofrecer,1
permanencia,1
viveza,1
continuar,1
pertenecer,1
denominación,1
suerte,1
ubicación,1
grava,1
redondez,1
luna,1
luz,1
dios,1
baco,1
abadía,1
tánico,1
recaredo,1
clon,1
planta,1
abanico,1
madurez,1
expresión,1
torrefacto,1
municipio,1
rodero,1
lagar,1
aguilera,1
prefiloxérica,1
propietario,1
máximo,1
rebelde,1
enamorar,1
armonioso,1
lujo,1
recuperación,1
franca,1
parca,1
información,1
palacio,1
crear,1
comentado,1
domar,1
cielo,1
museo,1
amor,1
incursión,1
recuperada,1
entorno,1
oeste,1
obtener,1
metálico,1
orientación,1
cara,1
discreto,1
nord,1
lleida,1
colgado,1
distinta,1
ágil,1
refinado,1
finura,1
multitud,1
desaparecer,1
vertical,1
áspero,1
arte,1
esposa,1
famoso,1
oído,1
perla,1
agradado,1
capafons,1
granito,1
identificar,1
empresa,1
aprender,1
albariza,1
mezclada,1
cuatro,1
perceptible,1
astringencia,1
inglés,1
picón,1
combinada,1
percibir,1
ermita,1
modernidad,1
creación,1
salto,1
moravia,1
euro,1
noble,1
proceder,1
compota,1
lengua,1
tina,1
poseer,1
histórico,1
tintilla,1
rota,1
tinaja,1
localidad,1
hombre,1
envejecido,1
región,1
mancha,1
diario,1
semi,1
corona,1
brut,1
cuarto,1
asociación,1
gaseosa,1
patata,1
tabla,1
chatear,1
molestar,1
exagerado,1
ajustada,1
prefiloxérico,1
variar,1
utiel,1
fermentar,1
dop,1
confitura,1
vermut,1
idéntica,1
atlántico,1
cambio,1
coste,1
defecto,1
colaboración,1
mercadona,1
reducido,1
mallorquín,1
lichi,1
langostino,1
cristo,1
trilogía,1
ligereza,1
atrayente,1
superior,1
sienta,1
chico,1
motivo,1
disponer,1
usanza,1
antaño,1
acacia,1
francisco,1
pobre,1
domado,1
virtud,1
pato,1
premiado,1
intento,1
seductor,1
llegado,1
gamba,1
vinificación,1
godello,1
aceituna,1
parker,1
indiferente,1
caldo,1
barcelona,1
supuesto,1
mermelada,1
fundación,1
cavernet,1
souvignon,1
ojo,1
río,1
significar,1
anual,1
ubicada,1
tintorera,1
gallego,1
mouratón,1
armónico,1
atípico,1
feliz,1
canaltravino,1
llamado,1
constante,1
gewürztraminer,1
trago,1
órden,1
comenzar,1
tapeo,1
tentación,1
tenue,1
rasgo,1
rastro,1
centenaria,1
visual,1
pavo,1
escorial,1
encanto,1
enamorado,1
terminado,1
salivar,1
necesario,1
apunte,1
menta,1
breve,1
arroyo,1
engañar,1
norte,1
msnm,1
mandar,1
precedente,1
secreto,1
oler,1
cacao,1
entrante,1
bajado,1
comportar,1
llena,1
contraste,1
imbatible,1
densidad,1
fudre,1
necesidad,1
diez,1
cometer,1
chicha,1
térmica,1
imaginar,1
tondonia,1
pista,1
quintanilla,1
pareja,1
morenillo,1
marco,1
cumplir,1
melón,1
saludo,1
unidad,1
textura,1
feria,1
don,1
prueba,1
lenta,1
tabaco,1
cuero,1
jugar,1
pagar,1
autor,1
medium,1
km,1
paella,1
pulir,1
aireación,1
tensión,1
mandarina,1
ebanistería,1
húmeda,1
ataque,1
frutoso,1
contino,1
fira,1
tiza,1
