palabra,frecuencia
mantener,130
impertable,130
plátano,130
resignación,130
tolerancia,130
recorrido,129
sufrimiento,128
flema,128
equilibrio,126
postgusto,125
cosa,124
amigo,124
valle,124
decir,123
acero,123
maridaje,123
evolución,122
gruesa,121
último,121
catar,120
potente,119
faltar,118
esperar,116
intrépido,115
calidad,113
poca,113
vegetal,112
tinto,112
claro,110
elaborar,109
mantequilla,109
corcho,109
junto,108
estructura,108
natural,108
bravo,108
matiz,108
pena,107
pasar,107
encontrar,106
seguro,106
mango,104
clásico,104
capa,103
frío,101
cosecha,101
posterior,100
rápida,100
mayor,99
límpido,98
propia,98
potencia,97
llegar,97
ganar,96
rf,95
trabajo,95
heno,94
caso,94
hecho,93
alcohol,93
tipo,92
sorpresa,92
invencible,92
contar,91
sb,91
dulzor,91
hermano,91
típico,91
comida,91
palomino,90
reciente,89
épico,89
osado,89
parcela,88
expresivo,88
indomable,87
carácter,87
burbuja,87
cumple,87
memorable,86
magnífico,86
esforzado,86
denodado,86
perfecto,85
rico,85
curioso,85
igual,85
negro,85
naranja,85
opinión,84
demasiado,84
valer,83
mar,82
caída,82
loureiro,81
llevar,81
sencillo,81
altura,81
gracia,81
aguante,80
especial,80
acompañar,79
saber,79
visita,79
aportar,78
estilo,78
ocasión,77
exceso,77
inicio,77
abrir,77
mandarina,76
disfrutar,75
gama,75
carbónica,75
fantástico,75
estructurado,74
redondo,74
familiar,74
fermentar,73
vitalidad,73
ría,73
melón,72
forma,71
aparecer,71
dulzón,71
aterciopelada,71
evolucionado,71
mano,71
ir,70
vid,69
viognier,69
enomatic,68
proyecto,68
salinidad,68
empezar,68
presente,67
real,67
moscatel,67
maridar,67
lenta,67
destacar,67
cena,66
encantar,66
conocido,65
membrillo,65
gustazo,65
estantería,65
entereza,65
delicado,65
acerado,65
almendra,65
ecológico,64
mezcla,64
elaboración,64
enólogo,64
plano,64
monte,63
valoración,63
original,63
tanino,63
maceración,63
parecido,63
espumoso,63
amable,63
cariñena,63
pasado,62
terra,62
poner,62
tarjeta,62
ideal,62
precarga,62
muestra,62
característica,61
riesling,61
abundante,61
deber,61
temperatura,61
envolvente,61
espectacular,61
semana,61
par,61
base,61
batallar,59
mundo,59
tempranillo,59
ciruela,58
cepa,58
guerrear,57
grupo,57
caíño,57
costa,57
panadería,56
presencia,56
hondarrabi,56
zuri,56
viva,55
estrella,55
necesitar,55
único,54
justo,54
pago,54
cortada,54
nivel,54
pelear,54
predominar,53
conocer,53
habitual,53
verano,53
pan,53
maravilla,53
montsant,52
placer,52
personalidad,52
grata,52
litro,52
atractivo,52
resultado,51
entrar,51
merecer,51
fudre,51
notar,51
parellada,51
destaca,51
directo,50
salir,50
retrogusto,50
malo,50
punzante,49
perfectamente,49
mayoría,49
comprar,49
bonito,49
resto,49
cápsula,48
empordà,48
combatir,48
justa,48
óptimo,48
jazmín,47
ajustada,47
apreciar,47
lujo,47
silvestre,47
pastelería,47
torrontés,46
sorprender,46
reconocer,46
notable,46
paja,46
dar,46
salnés,45
vendimia,45
calor,45
marisco,45
vida,45
familia,45
grado,45
ciegas,45
antigua,44
gallego,44
ubicada,44
básico,44
rías,44
predominio,44
historia,44
elegancia,43
lado,43
criado,43
granito,43
contender,43
remitir,43
medida,42
turbio,42
picota,42
mieloso,42
asada,42
hora,41
terreno,41
caramelo,41
disputar,41
galicia,41
noche,41
normal,41
diferencia,41
plástico,41
cereza,41
azúcar,41
resultar,40
vista,40
principio,40
pensar,40
típica,40
singular,40
perder,40
verdad,40
mosto,39
aluminio,39
reposar,39
increíble,39
costar,39
densidad,39
azahar,39
longitud,39
domingo,39
conjunto,39
vertical,39
situado,39
licor,38
producto,38
potencial,38
sotobosque,38
menú,38
hijo,38
manzanilla,38
rosado,38
campo,38
marca,38
rosa,38
total,38
albillo,38
ataque,38
hormigón,38
cargar,37
acertado,37
ánfora,37
velo,37
exótica,37
contacto,37
separado,37
arena,37
transparente,37
puro,37
pimienta,37
similar,37
experiencia,37
anís,37
condado,37
línea,37
controlada,36
personal,36
buscar,36
presentar,36
miño,36
americano,36
cambio,36
listar,36
imprescindible,36
macedonia,36
mesa,36
poco,36
manera,35
evolucionar,35
compotada,35
gamba,35
cuatro,35
picapoll,35
orígen,35
cambados,35
bierzo,35
cava,35
recomendar,35
pie,35
serio,35
levemente,35
voluminoso,35
aspecto,35
pendiente,35
laurel,35
pedir,35
excepcional,35
selección,34
horno,34
cumplidor,34
leer,34
embotellado,34
elaborador,34
difícil,34
mercado,34
acabar,34
bar,34
aperitivo,34
hablar,34
falset,34
enfrentar,34
complicación,34
escasa,34
pesar,33
generación,33
isla,33
simple,33
consumo,33
altitud,33
hidrocarburo,33
tiza,33
metálico,33
autóctona,33
cremosidad,33
procedente,33
suficiente,33
llamar,33
infusión,33
sorprendente,33
local,33
tradicional,33
compartir,33
subir,32
somontano,32
arroz,32
comprado,32
peso,32
pescado,32
metro,32
pazo,32
sumar,32
centenaria,32
aire,32
pomares,32
extraordinario,32
perfumado,32
queso,31
sienta,31
carnoso,31
gewürztraminer,31
limitado,31
profundo,31
divertido,31
viticultor,31
combinación,31
económico,31
fallar,31
px,31
pelo,31
oferta,31
agua,31
carta,31
lugar,31
pedro,31
doña,31
disfrutable,30
completo,30
bordelesa,30
prensal,30
segre,30
magnum,30
alma,30
piedra,30
toledo,30
mínima,30
muscat,30
sutilmente,30
suerte,30
venir,30
siglo,30
avanzar,30
anaranjado,29
aceptable,29
frutalidad,29
aguja,29
mentolado,29
grau,29
curiosidad,29
funcionar,29
llena,29
eulogio,29
distinto,29
arenoso,29
hacer,29
tea,29
juventud,28
calcáreo,28
duero,28
rosal,28
retronasal,28
alcohólica,28
ágil,28
mediterráneo,28
tratar,28
palafrugell,28
dudar,28
público,28
huevo,28
portal,28
top,28
gratallops,28
ladera,27
parafinado,27
exquisito,27
oportunidad,27
airén,27
trago,27
oscuro,27
entender,27
cooperativa,27
lácteo,27
joya,27
syrah,27
rato,27
particular,27
don,27
biodinámico,27
cerrado,26
subido,26
almíbar,26
respecto,26
visto,26
pueblo,26
general,26
confitado,26
cambiar,26
salar,26
as,26
lichi,26
merlot,26
prensado,26
tenue,26
esperado,26
margen,26
comentar,25
inicial,25
comer,25
paella,25
españa,25
brillo,25
trabajar,25
número,25
favorito,25
vinacoteca,25
aporte,25
fan,25
tapa,25
genial,25
absoluta,24
partir,24
tipicidad,24
edición,24
monterrei,24
fresa,24
realizar,24
premio,24
gozada,24
ojo,24
lonja,24
referencia,24
cálido,24
eucalipto,24
invitar,24
pretensión,24
oxidativo,24
manual,24
actual,24
vivir,23
convencer,23
mencía,23
apunte,23
camino,23
suponer,23
green,23
previa,23
mujer,23
pleno,23
pobre,23
tremendo,23
vinazo,23
breve,23
glicerina,23
envejecido,23
bebido,23
licoroso,23
menta,23
delicioso,23
sacar,23
puntuación,23
subzona,23
lejos,22
principal,22
rendimiento,22
ancestral,22
ofrecer,22
zerratia,22
pasión,22
compañía,22
lógico,22
atención,22
pulpo,22
plantada,22
río,22
protagonista,22
sobrar,22
alimonado,22
cemento,22
fase,22
enorme,21
razón,21
tapeo,21
elevada,21
añadir,21
bosque,21
comentado,21
arcilla,21
juan,21
tomás,21
edad,21
terraza,21
español,21
foto,21
porrera,21
llevaba,21
biológica,20
pinot,20
detalle,20
canto,20
vibrante,20
alert,20
borde,20
mix,20
comentario,20
corte,20
corona,20
conseguir,20
espaldera,20
grano,20
punta,20
maduración,20
cuestión,20
atacar,20
peculiar,20
tonalidad,20
crecer,20
época,20
apostar,20
formato,20
nocturna,20
común,20
salvaterra,20
rastro,19
feria,19
alguien,19
ocho,19
velada,19
expectativa,19
maestro,19
clara,19
crujiente,19
arcilloso,19
catado,19
violáceo,19
frambuesa,19
fragante,19
libro,19
molestar,19
información,19
prueba,19
bouquet,19
importante,19
concurso,19
flojo,19
chenin,18
acacia,18
hotel,18
acuerdo,18
propietario,18
agradecer,18
volcánica,18
aguantar,18
bilbao,18
entorno,18
sápido,18
provenir,18
aportación,18
cocinar,18
modo,18
música,18
menudo,18
albariza,18
caer,18
cambiado,18
futuro,18
combinar,18
sentado,18
luminoso,18
noble,18
cal,18
retro,18
adecuado,18
malvar,18
mallorca,18
frutoso,18
pizarra,18
semi,18
aireación,18
pareja,18
mitad,17
homenaje,17
tradición,17
granate,17
avellana,17
bota,17
madurez,17
aglomerado,17
indicar,17
textura,17
encontrado,17
vinícola,17
puesto,17
acompañado,17
raspón,17
marchita,17
ruta,17
regalo,17
figuera,17
cultivo,17
cantidad,17
mancha,17
gente,17
posible,17
alejandría,17
caliza,16
barcelona,16
producir,16
moderno,16
meloso,16
percibir,16
oxidación,16
merseguera,16
delicia,16
desaparecer,16
agradar,16
presentación,16
proporción,16
cs,16
tinaja,16
supermercado,16
amplitud,16
raya,16
acostumbrado,16
indiferente,16
ejemplo,16
feliz,16
vinoteca,16
súper,16
tinta,16
suavidad,16
gris,16
mora,16
ambarino,16
sorprendido,15
medio,15
amielado,15
palacio,15
fruto,15
valor,15
término,15
propiedad,15
alejado,15
visual,15
sierra,15
cumplir,15
menor,15
fundada,15
orejón,15
lineal,15
estridencia,15
burdeos,15
hectárea,15
espontánea,15
francesc,15
garcía,15
apagado,15
grasa,15
residual,15
ayuda,15
expresión,15
diseño,15
brisat,15
pedernal,15
viticultura,15
sidra,15
plaza,15
sousón,15
contenido,15
perdido,15
llamado,15
sulfito,15
filtrar,15
sacra,15
fundar,15
ambiente,15
degustación,15
imposible,15
proceder,15
concentrado,15
señor,15
impresión,14
pronunciado,14
combinada,14
venta,14
tardío,14
compañero,14
respeto,14
fama,14
contundente,14
falto,14
comparar,14
definir,14
pasada,14
láctico,14
colaboración,14
entera,14
rey,14
chispeante,14
basterra,14
terminar,14
maridado,14
método,14
caro,14
ámbar,14
crítica,14
playa,14
convencido,14
gastronómico,14
prolongado,14
idea,14
barro,14
cría,14
existe,14
realidad,14
salvo,14
prefiloxérica,14
caja,14
atípico,13
degustar,13
maloláctica,13
macerado,13
elección,13
abierto,13
sed,13
golosina,13
permanecer,13
valorar,13
discreto,13
maracuyá,13
crear,13
auténtico,13
chard,13
reserva,13
nervar,13
sorbo,13
mejorado,13
concepto,13
nervio,13
parker,13
sábado,13
empalagoso,13
supuesto,13
domado,13
visitar,13
terruño,13
descubrir,13
resultón,13
contraste,13
próxima,13
battonage,13
porcentaje,13
pla,13
prensa,13
extraño,13
romero,13
tomillo,13
estancia,13
pertenecer,13
impresionante,13
oler,12
contraetiqueta,12
significar,12
torres,12
jugar,12
barra,12
abuelo,12
corazón,12
destacable,12
tapón,12
conserva,12
antonio,12
hoja,12
gustoso,12
ganado,12
poteo,12
preferir,12
lástima,12
bebible,12
bien,12
damajuanas,12
ossian,12
mira,12
escarchada,12
confirmar,12
fecha,12
húmeda,12
requena,12
llicorella,12
apetecer,12
tomado,12
granítica,12
tabaco,12
emparrado,12
problema,12
bobet,12
chico,12
arbo,12
gloria,12
húngaro,12
ligereza,12
versión,11
dato,11
almeja,11
luz,11
girar,11
premsal,11
picante,11
marketing,11
marmajuelo,11
gracía,11
ilusión,11
obtener,11
perfil,11
barbacoa,11
fundador,11
cabeza,11
quinta,11
guardado,11
moro,11
medium,11
norte,11
compota,11
graduación,11
hollejo,11
arribas,11
mallorquín,11
fluido,11
generoso,11
postre,11
utiel,11
fiesta,11
cuarto,11
relación,11
sol,11
térmica,11
evidente,11
adegas,11
cenar,11
comercial,11
guerra,11
adictivo,11
festival,11
siete,11
socio,11
protagonismo,11
extremo,11
abierta,11
vinificación,11
superior,11
verdor,11
llegado,11
lagrimal,11
cristal,11
clima,11
recuperación,11
acierto,11
plancha,11
nevera,11
entero,11
vender,11
tocar,11
imagen,11
castaño,11
nacer,11
condición,11
crema,11
medina,11
humo,11
gramona,11
virtud,11
contrario,11
rodado,11
descubrimiento,10
honor,10
yeso,10
barrio,10
capaz,10
sur,10
paraje,10
logrado,10
cocina,10
ronda,10
salido,10
vértebra,10
coca,10
mostrat,10
cuerda,10
favor,10
espectáculo,10
violeta,10
servir,10
competencia,10
proceso,10
preferido,10
amoratado,10
coco,10
expresividad,10
realizado,10
honesto,10
materia,10
anual,10
pulido,10
pansa,10
multitud,10
fiel,10
fuerte,10
histórico,10
extremado,10
avia,10
formada,10
brioche,10
arrancar,10
encus,10
trabajado,10
capellanes,10
máximo,10
obra,10
imaginar,10
vaso,10
fenomenal,10
aprox,10
sobrio,10
plato,10
encantado,10
cera,10
moda,10
comarca,10
lavanda,10
tópico,10
seleccionada,10
poseer,10
floritura,10
sincero,10
salida,10
esparreguera,10
dafont,10
restar,10
cuidada,10
esencia,10
reducción,10
envejecimiento,9
salsa,9
emilio,9
excepción,9
euro,9
perfección,9
maduro,9
azul,9
fallado,9
experimento,9
colección,9
imperceptible,9
diego,9
bogavante,9
mariscada,9
higo,9
técnica,9
atlántico,9
fijo,9
canela,9
merluza,9
kiwi,9
desenfadado,9
pesado,9
lubina,9
cara,9
brutal,9
calma,9
fira,9
masía,9
jugoso,9
almuerzo,9
integrar,9
órden,9
engañar,9
sobresalir,9
identidad,9
romeo,9
serrada,9
cumplido,9
minuto,9
empalagar,9
importar,9
navidad,9
ganando,9
prefiloxérico,9
jornada,9
denominación,9
augurar,9
concreto,9
mini,9
envejecer,9
expresar,9
cruda,9
pariente,9
próximo,9
bancales,9
semidulce,9
chispa,9
concentración,9
mojada,9
recomendación,9
amargura,9
brancellao,9
amor,9
apto,9
neves,9
plena,9
mermelada,9
fósforo,9
cebolla,9
famoso,9
permanencia,9
sutileza,9
encanto,9
tina,9
salió,9
hielo,8
nítido,8
embotellar,8
perfume,8
colo,8
autor,8
sara,8
montaña,8
nectarina,8
majestic,8
espadeiro,8
manuel,8
clavo,8
brasa,8
msnm,8
aceite,8
novedad,8
torrefacto,8
probable,8
pregunto,8
comenzar,8
seña,8
cristalino,8
asistente,8
tope,8
salvador,8
secano,8
clarificar,8
transmitir,8
sistema,8
viveza,8
integración,8
telmo,8
tienda,8
superar,8
excesivo,8
portugal,8
definitiva,8
dulcedumbre,8
sentir,8
decente,8
comparación,8
redondear,8
confitura,8
parada,8
localidad,8
elegir,8
debilidad,8
centro,8
hechos,8
mantonegro,8
promedio,8
tranquilo,8
éxito,8
patente,8
avainillado,8
certificado,8
filtrado,8
entonces,8
lengua,8
puerto,8
indie,8
dominio,8
finura,8
personalmente,8
matarromera,8
defraudar,8
insistir,8
rubí,8
ácidez,8
diverso,8
ximenez,8
reducido,8
dominar,8
serra,8
distancia,8
raro,8
cuenca,8
avanzando,8
promete,8
pimiento,8
tenerife,8
acompañante,8
empresa,8
exagerado,8
zamburiña,8
porqué,8
cuero,8
precioso,8
suavizar,8
definición,8
exclusivo,8
marco,8
límite,8
regaliz,8
objetar,8
trasfondo,8
secante,8
salivar,8
decepción,8
interior,7
doble,7
desprender,7
racimo,7
infernal,7
doq,7
cita,7
apunta,7
restante,7
bacalao,7
muerte,7
cacao,7
tercio,7
amabilidad,7
verlo,7
transportar,7
reposado,7
permite,7
rango,7
primavera,7
inmejorable,7
lurton,7
recuperada,7
verdadera,7
restauración,7
terminado,7
menade,7
cordero,7
regusto,7
asado,7
definido,7
servido,7
enamorar,7
diario,7
sangenís,7
productor,7
raíz,7
taberna,7
altamente,7
cabernet,7
necesario,7
olivera,7
grava,7
limo,7
abusar,7
sobremadurada,7
licorosidad,7
colonia,7
igp,7
chocolate,7
equipo,7
espacio,7
prima,7
huelva,7
dulzura,7
parque,7
firma,7
pastelera,7
peñín,7
olor,7
compensado,7
lagar,7
acorde,7
illescas,7
cubierto,7
juvenil,7
penalizar,7
tortilla,7
dedicado,7
agricultura,7
nora,7
defecto,7
serie,7
carne,7
monastrell,7
describir,7
catalán,7
rezar,7
jovial,7
roca,7
viaje,7
conjuntado,7
digno,7
región,7
sal,7
aprender,7
avda,7
tomo,7
incluido,7
laguardia,7
copeo,7
razonable,7
km,7
relativo,7
olvidar,7
excelencia,6
grosella,6
atraer,6
tondonia,6
seductor,6
sabemos,6
cariño,6
jean,6
bodeguero,6
llamativo,6
explicar,6
primario,6
diez,6
planta,6
borja,6
garraf,6
asequible,6
alegre,6
coincidente,6
abanico,6
caliente,6
canaltravino,6
bajos,6
crecido,6
tema,6
solera,6
aprobado,6
pico,6
lleno,6
pepita,6
coincidir,6
convertido,6
briones,6
factor,6
luna,6
cochinillo,6
municipio,6
conjunción,6
cualidade,6
avinguda,6
magnifico,6
ensamblado,6
insuperable,6
málaga,6
manchego,6
esfuerzo,6
nuez,6
mercadona,6
partida,6
querido,6
soberbio,6
clase,6
exponente,6
valorado,6
pizca,6
hombre,6
oxidado,6
plantar,6
edificio,6
tarragona,6
frontera,6
contino,6
antigüedad,6
gominola,6
dirección,6
nava,6
disfrutado,6
totalidad,6
ingente,6
loco,6
rústico,6
tocado,6
espárrago,6
octubre,6
vinificado,6
champagne,6
degustado,6
compartida,6
ejercicio,6
jamón,6
premiado,6
profundidad,6
trufa,6
toffe,6
quieta,6
continuar,6
salva,6
andar,6
tanque,6
abadía,6
conca,6
allende,6
monasterio,6
corpulento,6
ensamblaje,6
asentado,5
imbatible,5
arista,5
distinta,5
sonsierra,5
café,5
compuesto,5
escándalo,5
astringencia,5
ajustado,5
salto,5
envidiar,5
turno,5
volcánico,5
matrimonio,5
domar,5
oliva,5
poderío,5
prieto,5
conservado,5
domenech,5
ensalada,5
parca,5
decepcionado,5
cedro,5
cabo,5
rojizo,5
terroso,5
producido,5
aniversario,5
pétalo,5
sedosidad,5
conferir,5
regla,5
apertura,5
asomar,5
decantar,5
memoria,5
garantía,5
vermut,5
galapagar,5
aceituna,5
nord,5
sosegado,5
función,5
control,5
cobeja,5
calle,5
ubicación,5
barrante,5
apetecible,5
unidad,5
vermell,5
explosión,5
granel,5
antaño,5
creamy,5
astringente,5
fournier,5
originalidad,5
simpático,5
conservar,5
constante,5
vacaciones,5
evitar,5
virgen,5
clon,5
alegría,5
sublime,5
factura,5
moderado,5
lista,5
web,5
aplicación,5
error,5
reconocido,5
barbier,5
rareza,5
liviano,5
filoxera,5
helado,5
pista,5
pinta,5
sinónimo,5
inferior,5
cuidado,5
ligada,5
cantabria,5
situar,5
desconocer,5
capacidad,5
periodo,5
resina,5
reconocible,5
intento,5
costumbre,5
boletus,5
michelin,5
amante,5
prefermentativa,5
picón,5
pérdida,5
efecto,5
cargado,5
guía,5
categoría,5
nueve,5
reafirmar,5
auténtica,5
colgado,5
sacado,5
creación,5
pegar,5
marrón,5
duro,5
leido,5
confinamiento,5
cultura,5
mayo,5
estación,5
disfrute,5
forca,5
egido,5
armonía,5
austero,5
facilidad,5
gauda,5
culpa,5
conocimiento,4
pedregoso,4
gravedad,4
objetivo,4
francisco,4
movimiento,4
frito,4
calificación,4
celebración,4
variado,4
informal,4
huella,4
majo,4
brut,4
demuestra,4
risa,4
foudres,4
referente,4
devoción,4
colgar,4
winelover,4
medalla,4
pizarroso,4
cartoixà,4
manchuela,4
coste,4
obtenido,4
saborear,4
ocre,4
mezclada,4
criomaceración,4
sazón,4
acompañamiento,4
consejo,4
abril,4
foie,4
rosca,4
marcar,4
lluvia,4
esposa,4
patata,4
oxigenación,4
callet,4
mérito,4
pionera,4
vivaz,4
cuba,4
salmón,4
lío,4
observar,4
mirar,4
armónico,4
museo,4
mandar,4
conseguido,4
value,4
llops,4
delicadeza,4
madurar,4
moscada,4
ordóñez,4
sofisticado,4
vintage,4
costado,4
portar,4
haro,4
singularidad,4
ximénez,4
parezca,4
medicinal,4
sello,4
tomate,4
claudio,4
terciario,4
seda,4
apellido,4
buey,4
diversidad,4
campestre,4
ibérico,4
sangre,4
añejo,4
gota,4
válida,4
exactamente,4
dios,4
mogador,4
maravilloso,4
postigo,4
ganador,4
representar,4
gregorio,4
viento,4
ánimo,4
requerir,4
parador,4
mixta,4
desaparecido,4
raudal,4
pagar,4
cumpleaños,4
enate,4
gràcies,4
matarraña,4
vinoso,4
dedo,4
recomendado,4
degüelle,4
creador,4
asociación,4
cercana,4
probada,4
arte,4
borgoña,4
hechura,4
exagerar,4
casualidad,4
palo,4
boda,4
despliegue,4
inicialmente,4
arándano,4
personaje,4
trossos,4
ciudad,4
mejoraría,4
casino,4
conservación,4
talla,4
cuida,4
recaredo,4
intervención,4
placentero,4
ampliar,4
cero,4
franca,4
modernidad,4
cuelgo,3
poboleda,3
lote,3
tudela,3
capçanes,3
pasificada,3
aprendizaje,3
vivo,3
ermita,3
cruz,3
francamente,3
espolla,3
seta,3
mendoza,3
serrano,3
provincia,3
plenitud,3
oxigenar,3
inconfundible,3
premium,3
celebrar,3
brandy,3
incursión,3
entrado,3
enero,3
múltiple,3
reflejar,3
reconocimiento,3
avanzado,3
humedad,3
preservar,3
trato,3
procedencia,3
descompensado,3
animado,3
pino,3
mostrarse,3
denotar,3
nacional,3
afinar,3
excesiva,3
proveniente,3
entusiasmado,3
entusiasmar,3
cristo,3
artesanal,3
reto,3
componer,3
declive,3
batalla,3
eneldo,3
exportación,3
constar,3
albarín,3
contundencia,3
nochebuena,3
redondez,3
latín,3
kg,3
caballo,3
teja,3
dócil,3
romano,3
armario,3
etiquetado,3
bobal,3
cultivar,3
excusa,3
refinado,3
explosivo,3
armonioso,3
baya,3
predominante,3
rasgo,3
tardar,3
despalillado,3
sobremesa,3
character,3
aproximadamente,3
ternera,3
complicado,3
silky,3
trilogía,3
arquitecto,3
extracción,3
graciano,3
emplear,3
febrero,3
contador,3
motivo,3
escapar,3
merino,3
vega,3
vena,3
canso,3
otorgar,3
poso,3
escocés,3
norrel,3
rama,3
sonar,3
continental,3
vitivinícola,3
mirando,3
elemento,3
cervoles,3
representante,3
minuta,3
ajerezado,3
magnun,3
perdón,3
afinado,3
souvignon,3
cine,3
garrigues,3
eterno,3
cruzado,3
paisaje,3
césar,3
trepat,3
naturaleza,3
fundación,3
tamaño,3
animal,3
barato,3
tranquilidad,3
malbec,3
composición,3
cesta,3
challenge,3
leche,3
otero,3
predilección,3
reiterar,3
defraudado,3
tropicalidad,3
infinito,3
adicional,3
figura,3
sumiller,3
pureza,3
garra,3
fontana,3
oído,3
persiste,3
club,3
parcelario,3
toffee,3
tánico,3
especificar,3
usuario,3
variar,3
extremadura,3
pillado,3
afición,3
puente,3
escrito,3
interés,3
sulfuroso,3
leza,3
clarificado,3
plantación,3
rolland,3
tramuntana,3
orgánico,3
consumir,3
minúscula,3
opulento,3
caldo,3
duradero,2
reseña,2
comando,2
mejoría,2
ensamblada,2
masa,2
sentar,2
entrante,2
alceño,2
cocido,2
tabla,2
pillar,2
francia,2
profesional,2
ondarrabi,2
esquistos,2
tomas,2
extenso,2
internet,2
perceptible,2
pulir,2
mejillón,2
espalda,2
alejar,2
cojonudo,2
musgo,2
international,2
charla,2
deleite,2
croqueta,2
merenzao,2
superficie,2
recipiente,2
moral,2
colofón,2
chatear,2
mítica,2
aluvial,2
técnico,2
promesa,2
pato,2
arribes,2
cánon,2
microclima,2
borsao,2
franja,2
metido,2
desplegar,2
mimo,2
experto,2
quitar,2
semillon,2
lomo,2
mata,2
respirar,2
sevilla,2
amaren,2
untuosidad,2
paz,2
chaval,2
componente,2
elciego,2
conde,2
tino,2
pretender,2
mazuelo,2
botellero,2
cieno,2
resuelto,2
resistir,2
femenino,2
acercamiento,2
renunciar,2
caracterizar,2
lograr,2
poderoso,2
temporada,2
leyenda,2
idéntica,2
pesquera,2
enología,2
marga,2
sostenible,2
redonda,2
papel,2
alusión,2
despalillar,2
tintorera,2
zaga,2
desconocido,2
heredia,2
marcos,2
cometer,2
sopa,2
preferencia,2
desmarcar,2
versátil,2
tastaporrera,2
atrayente,2
invierno,2
elegido,2
escudo,2
obsequio,2
xavier,2
airear,2
fría,2
allier,2
clasicismo,2
remelluri,2
hojarasca,2
monsant,2
salvaje,2
sangrado,2
artista,2
rabo,2
escorial,2
aficionado,2
olfato,2
madurada,2
silvia,2
bazuqueos,2
hilo,2
llebre,2
sombrero,2
estrecho,2
gandesa,2
grillo,2
pedazo,2
archiconocido,2
oreado,2
baco,2
mantenido,2
entrega,2
belleza,2
artífice,2
inglés,2
azufre,2
perelada,2
miedo,2
ritmo,2
perteneciente,2
chicha,2
asalmonado,2
matorral,2
bajado,2
denominador,2
cenit,2
pedido,2
dehesa,2
sobresalto,2
tiro,2
preparado,2
rebelde,2
cielo,2
dimongo,2
solomillo,2
caza,2
caoba,2
camarero,2
resumen,2
regalado,2
background,2
winebar,2
ficaria,2
extraer,2
cueva,2
agregar,2
desentonar,2
agrícola,2
langostino,2
perla,2
binissalem,2
lleida,2
peldaño,2
ganga,2
templo,2
limado,1
voz,1
desequilibrado,1
puerta,1
gotear,1
gala,1
cuchillo,1
precedente,1
carrillera,1
decantación,1
manto,1
deseo,1
muga,1
vidrio,1
humilladero,1
cadalso,1
gredos,1
piruleta,1
partido,1
destino,1
coger,1
bomba,1
abandonar,1
comportar,1
remontado,1
reina,1
ficha,1
azabache,1
muchosvinos,1
clarete,1
basto,1
endrina,1
ebanistería,1
humilde,1
tapear,1
comité,1
muerto,1
pavo,1
vaca,1
mediodía,1
escondida,1
quintana,1
tensión,1
ebro,1
amado,1
bodied,1
ramo,1
tentación,1
aburrido,1
industrial,1
pardo,1
nogal,1
